id,description,date,number,lat,lng,count
169,SCHOOL VISIT ,10/2/19,256,42.521202,-83.469492,1
170,SCHOOL VISIT ,10/2/19,244,42.468959,-83.522221,1
171,SCHOOL VISIT ,10/2/19,266,42.465061,-83.461523,1
172,SCHOOL VISIT ,10/2/19,266,42.461427,-83.446007,1
173,SCHOOL VISIT ,10/3/19,244,42.468959,-83.522221,1
174,SCHOOL VISIT ,10/3/19,244,42.486569,-83.535075,1
175,SCHOOL VISIT ,10/3/19,244,42.489376,-83.540248,1
176,SCHOOL VISIT ,10/3/19,260,42.508257,-83.454752,1
177,SCHOOL VISIT ,10/3/19,285,42.465061,-83.461523,1
178,SCHOOL VISIT ,10/3/19,260,42.461427,-83.446007,1
179,SCHOOL VISIT ,10/3/19,260,42.468959,-83.522221,1
180,SCHOOL VISIT ,10/3/19,285,42.461427,-83.446007,1
181,SCHOOL VISIT ,10/3/19,303,42.508257,-83.454752,1
182,SCHOOL VISIT ,10/3/19,303,42.521202,-83.469492,1
183,SCHOOL VISIT ,10/3/19,292,42.508257,-83.454752,1
184,SCHOOL VISIT ,10/3/19,276,42.481261,-83.516392,1
185,SCHOOL VISIT ,10/3/19,292,42.521202,-83.469492,1
186,SCHOOL VISIT ,10/4/19,216,42.508257,-83.454752,1
187,SCHOOL VISIT ,10/4/19,216,42.521202,-83.469492,1
188,SCHOOL VISIT ,10/4/19,244,42.461427,-83.446007,1
189,SCHOOL VISIT ,10/4/19,230,42.465061,-83.461523,1
190,SCHOOL VISIT ,10/4/19,230,42.461427,-83.446007,1
191,SCHOOL VISIT ,10/4/19,244,42.468514,-83.439433,1
192,SCHOOL VISIT ,10/4/19,244,42.484082,-83.457421,1
193,SCHOOL VISIT ,10/5/19,253,42.477497,-83.495401,1
194,SCHOOL VISIT ,10/5/19,253,42.463211,-83.490985,1
195,SCHOOL VISIT ,10/6/19,301,42.463211,-83.490985,1
196,SCHOOL VISIT ,10/7/19,260,42.521202,-83.469492,1
197,SCHOOL VISIT ,10/7/19,260,42.508257,-83.454752,1
198,SCHOOL VISIT ,10/7/19,292,42.450681,-83.504154,1
199,SCHOOL VISIT ,10/7/19,276,42.461427,-83.446007,1
200,SCHOOL VISIT ,10/7/19,292,42.473913,-83.497865,1
201,SCHOOL VISIT ,10/7/19,292,42.476463,-83.497671,1
202,SCHOOL VISIT ,10/8/19,292,42.468959,-83.522221,1
203,SCHOOL VISIT ,10/8/19,291,42.481261,-83.516392,1
204,SCHOOL VISIT ,10/8/19,292,42.486569,-83.535075,1
205,SCHOOL VISIT ,10/8/19,291,42.493266,-83.528514,1
206,SCHOOL VISIT ,10/8/19,263,42.508257,-83.454752,1
207,SCHOOL VISIT ,10/9/19,299,42.468959,-83.522221,1
208,SCHOOL VISIT ,10/9/19,240,42.47843,-83.495453,1
209,SCHOOL VISIT ,10/10/19,230,42.450681,-83.504154,1
210,SCHOOL VISIT ,10/10/19,256,42.521202,-83.469492,1
211,SCHOOL VISIT ,10/10/19,230,42.463211,-83.490985,1
212,SCHOOL VISIT ,10/10/19,216,42.521202,-83.469492,1
213,SCHOOL VISIT ,10/10/19,244,42.461427,-83.446007,1
214,SCHOOL VISIT ,10/10/19,244,42.465061,-83.461523,1
215,SCHOOL VISIT ,10/10/19,216,42.508257,-83.454752,1
216,SCHOOL VISIT ,10/11/19,291,42.493266,-83.528514,1
217,SCHOOL VISIT ,10/11/19,276,42.465061,-83.461523,1
218,SCHOOL VISIT ,10/11/19,263,42.508257,-83.454752,1
219,SCHOOL VISIT ,10/11/19,291,42.489376,-83.540248,1
220,SCHOOL VISIT ,10/11/19,286,42.489376,-83.540248,1
221,SCHOOL VISIT ,11/1/19,230,42.489376,-83.540248,1
222,SCHOOL VISIT ,11/1/19,216,42.521202,-83.469492,1
223,SCHOOL VISIT ,11/1/19,230,42.450681,-83.504154,1
224,SCHOOL VISIT ,11/1/19,244,42.468514,-83.439433,1
225,SCHOOL VISIT ,11/1/19,216,42.508257,-83.454752,1
226,SCHOOL VISIT ,11/1/19,244,42.461427,-83.446007,1
227,SCHOOL VISIT ,11/1/19,256,42.521202,-83.469492,1
228,SCHOOL VISIT ,11/1/19,216,42.512892,-83.449649,1
229,SCHOOL VISIT ,11/2/19,217,42.463211,-83.490985,1
230,SCHOOL VISIT ,11/2/19,217,42.47843,-83.495453,1
231,SCHOOL VISIT ,11/2/19,230,42.47843,-83.495453,1
232,SCHOOL VISIT ,11/2/19,230,42.463211,-83.490985,1
233,SCHOOL VISIT ,11/4/19,260,42.521202,-83.469492,1
234,SCHOOL VISIT ,11/4/19,291,42.489376,-83.540248,1
235,SCHOOL VISIT ,11/4/19,292,42.479326,-83.495504,1
236,SCHOOL VISIT ,11/4/19,292,42.477863,-83.495421,1
237,SCHOOL VISIT ,11/4/19,292,42.486569,-83.535075,1
238,SCHOOL VISIT ,11/4/19,300,42.461427,-83.446007,1
239,SCHOOL VISIT ,11/4/19,244,42.484082,-83.457421,1
240,SCHOOL VISIT ,11/5/19,291,42.489376,-83.540248,1
241,SCHOOL VISIT ,11/5/19,291,42.489376,-83.540248,1
242,SCHOOL VISIT ,11/6/19,217,42.468959,-83.522221,1
243,SCHOOL VISIT ,11/6/19,230,42.450681,-83.504154,1
244,SCHOOL VISIT ,11/6/19,217,42.468959,-83.522221,1
245,SCHOOL VISIT ,11/6/19,304,42.461427,-83.446007,1
246,SCHOOL VISIT ,11/6/19,244,42.461427,-83.446007,1
