id,offense description,date,number,lat,lng
177,SCHOOL VISIT ,10/03/19,285,42.465061,-83.461523
178,SCHOOL VISIT ,10/03/19,260,42.461427,-83.446007
179,SCHOOL VISIT ,10/03/19,260,42.468959,-83.522221
180,SCHOOL VISIT ,10/03/19,285,42.461427,-83.446007
181,SCHOOL VISIT ,10/03/19,303,42.508257,-83.454752
182,SCHOOL VISIT ,10/03/19,303,42.521202,-83.469492
183,SCHOOL VISIT ,10/03/19,292,42.508257,-83.454752
184,SCHOOL VISIT ,10/03/19,276,42.481261,-83.516392
185,SCHOOL VISIT ,10/03/19,292,42.521202,-83.469492
186,SCHOOL VISIT ,10/04/19,216,42.508257,-83.454752
187,SCHOOL VISIT ,10/04/19,216,42.521202,-83.469492
188,SCHOOL VISIT ,10/04/19,244,42.461427,-83.446007
189,SCHOOL VISIT ,10/04/19,230,42.465061,-83.461523
190,SCHOOL VISIT ,10/04/19,230,42.461427,-83.446007
191,SCHOOL VISIT ,10/04/19,244,42.468514,-83.439433
192,SCHOOL VISIT ,10/04/19,244,42.484082,-83.457421
193,SCHOOL VISIT ,10/05/19,253,42.477497,-83.495401
194,SCHOOL VISIT ,10/05/19,253,42.463211,-83.490985
195,SCHOOL VISIT ,10/06/19,301,42.463211,-83.490985
196,SCHOOL VISIT ,10/07/19,260,42.521202,-83.469492
197,SCHOOL VISIT ,10/07/19,260,42.508257,-83.454752
198,SCHOOL VISIT ,10/07/19,292,42.450681,-83.504154
199,SCHOOL VISIT ,10/07/19,276,42.461427,-83.446007
200,SCHOOL VISIT ,10/07/19,292,42.473913,-83.497865
201,SCHOOL VISIT ,10/07/19,292,42.476463,-83.497671
202,SCHOOL VISIT ,10/08/19,292,42.468959,-83.522221
203,SCHOOL VISIT ,10/08/19,291,42.481261,-83.516392
204,SCHOOL VISIT ,10/08/19,292,42.486569,-83.535075
205,SCHOOL VISIT ,10/08/19,291,42.493266,-83.528514
206,SCHOOL VISIT ,10/08/19,263,42.508257,-83.454752
207,SCHOOL VISIT ,10/09/19,299,42.468959,-83.522221
208,SCHOOL VISIT ,10/09/19,240,42.478430,-83.495453
209,SCHOOL VISIT ,10/10/19,230,42.450681,-83.504154
210,SCHOOL VISIT ,10/10/19,256,42.521202,-83.469492
211,SCHOOL VISIT ,10/10/19,230,42.463211,-83.490985
212,SCHOOL VISIT ,10/10/19,216,42.521202,-83.469492
213,SCHOOL VISIT ,10/10/19,244,42.461427,-83.446007
214,SCHOOL VISIT ,10/10/19,244,42.465061,-83.461523
215,SCHOOL VISIT ,10/10/19,216,42.508257,-83.454752
216,SCHOOL VISIT ,10/11/19,291,42.493266,-83.528514
217,SCHOOL VISIT ,10/11/19,276,42.465061,-83.461523
218,SCHOOL VISIT ,10/11/19,263,42.508257,-83.454752
219,SCHOOL VISIT ,10/11/19,291,42.489376,-83.540248
220,SCHOOL VISIT ,10/11/19,286,42.489376,-83.540248
221,SCHOOL VISIT ,11/01/19,230,42.489376,-83.540248
222,SCHOOL VISIT ,11/01/19,216,42.521202,-83.469492
223,SCHOOL VISIT ,11/01/19,230,42.450681,-83.504154
224,SCHOOL VISIT ,11/01/19,244,42.468514,-83.439433
225,SCHOOL VISIT ,11/01/19,216,42.508257,-83.454752
226,SCHOOL VISIT ,11/01/19,244,42.461427,-83.446007
227,SCHOOL VISIT ,11/01/19,256,42.521202,-83.469492
228,SCHOOL VISIT ,11/01/19,216,42.512892,-83.449649
229,SCHOOL VISIT ,11/02/19,217,42.463211,-83.490985
230,SCHOOL VISIT ,11/02/19,217,42.478430,-83.495453
231,SCHOOL VISIT ,11/02/19,230,42.478430,-83.495453
232,SCHOOL VISIT ,11/02/19,230,42.463211,-83.490985
233,SCHOOL VISIT ,11/04/19,260,42.521202,-83.469492
234,SCHOOL VISIT ,11/04/19,291,42.489376,-83.540248
235,SCHOOL VISIT ,11/04/19,292,42.479326,-83.495504
236,SCHOOL VISIT ,11/04/19,292,42.477863,-83.495421
237,SCHOOL VISIT ,11/04/19,292,42.486569,-83.535075
238,SCHOOL VISIT ,11/04/19,300,42.461427,-83.446007
239,SCHOOL VISIT ,11/04/19,244,42.484082,-83.457421
240,SCHOOL VISIT ,11/05/19,291,42.489376,-83.540248
241,SCHOOL VISIT ,11/05/19,291,42.489376,-83.540248
242,SCHOOL VISIT ,11/06/19,217,42.468959,-83.522221
243,SCHOOL VISIT ,11/06/19,230,42.450681,-83.504154
244,SCHOOL VISIT ,11/06/19,217,42.468959,-83.522221
245,SCHOOL VISIT ,11/06/19,304,42.461427,-83.446007
246,SCHOOL VISIT ,11/06/19,244,42.461427,-83.446007
247,SCHOOL VISIT ,11/06/19,304,42.468514,-83.439433
248,SCHOOL VISIT ,11/07/19,244,42.489376,-83.540248
249,SCHOOL VISIT ,11/07/19,298,42.465061,-83.461523
250,SCHOOL VISIT ,11/07/19,244,42.465061,-83.461523
251,SCHOOL VISIT ,11/08/19,292,42.463211,-83.490985
252,SCHOOL VISIT ,11/08/19,276,42.468514,-83.439433
253,SCHOOL VISIT ,11/08/19,300,42.450681,-83.504154
254,SCHOOL VISIT ,11/11/19,217,42.489376,-83.540248
255,SCHOOL VISIT ,11/11/19,298,42.473913,-83.497865
256,SCHOOL VISIT ,11/11/19,298,42.468959,-83.522221
257,SCHOOL VISIT ,12/02/19,292,42.472708,-83.504254
258,SCHOOL VISIT ,12/02/19,292,42.489376,-83.540248
259,SCHOOL VISIT ,12/02/19,292,42.468959,-83.522221
260,SCHOOL VISIT ,12/02/19,291,42.493266,-83.528514
261,SCHOOL VISIT ,12/02/19,291,42.481261,-83.516392
262,SCHOOL VISIT ,12/02/19,276,42.461427,-83.446007
263,SCHOOL VISIT ,12/02/19,301,42.521202,-83.469492
264,SCHOOL VISIT ,12/02/19,301,42.512892,-83.449649
265,SCHOOL VISIT ,12/02/19,276,42.468514,-83.439433
266,SCHOOL VISIT ,12/02/19,301,42.512892,-83.449649
267,SCHOOL VISIT ,12/02/19,292,42.477497,-83.495401
268,SCHOOL VISIT ,12/02/19,291,42.489376,-83.540248
269,SCHOOL VISIT ,12/03/19,291,42.489376,-83.540248
270,SCHOOL VISIT ,12/03/19,263,42.508257,-83.454752
271,SCHOOL VISIT ,12/03/19,263,42.521202,-83.469492
272,SCHOOL VISIT ,12/03/19,292,42.479326,-83.495504
273,SCHOOL VISIT ,12/04/19,230,42.489376,-83.540248
274,SCHOOL VISIT ,12/04/19,230,42.450681,-83.504154
275,SCHOOL VISIT ,12/04/19,256,42.512892,-83.449649
276,SCHOOL VISIT ,12/04/19,244,42.484082,-83.457421
277,SCHOOL VISIT ,12/04/19,256,42.508257,-83.454752
278,SCHOOL VISIT ,12/04/19,217,42.489376,-83.540248
279,SCHOOL VISIT ,12/04/19,216,42.521202,-83.469492
280,SCHOOL VISIT ,12/04/19,301,42.461427,-83.446007
281,SCHOOL VISIT ,12/04/19,217,42.479326,-83.495504
282,SCHOOL VISIT ,12/04/19,303,42.508257,-83.454752
283,SCHOOL VISIT ,12/04/19,217,42.463211,-83.490985
284,SCHOOL VISIT ,12/04/19,244,42.465061,-83.461523
285,SCHOOL VISIT ,12/04/19,230,42.486569,-83.535075
286,SCHOOL VISIT ,12/05/19,230,42.489376,-83.540248
287,SCHOOL VISIT ,12/05/19,230,42.468959,-83.522221
288,SCHOOL VISIT ,12/05/19,256,42.521202,-83.469492
289,SCHOOL VISIT ,12/05/19,298,42.484082,-83.457421
290,SCHOOL VISIT ,12/05/19,298,42.468959,-83.522221
291,SCHOOL VISIT ,12/05/19,217,42.481261,-83.516392
292,SCHOOL VISIT ,12/05/19,303,42.468959,-83.522221
293,SCHOOL VISIT ,12/05/19,240,42.468959,-83.522221
294,SCHOOL VISIT ,12/05/19,240,42.478430,-83.495453
295,SCHOOL VISIT ,12/06/19,292,42.479326,-83.495504
296,SCHOOL VISIT ,12/06/19,292,42.450681,-83.504154
297,SCHOOL VISIT ,12/06/19,291,42.489376,-83.540248
298,SCHOOL VISIT ,12/06/19,276,42.468514,-83.439433
299,SCHOOL VISIT ,12/07/19,292,42.476463,-83.497671
300,SCHOOL VISIT ,12/07/19,292,42.463211,-83.490985
301,SCHOOL VISIT ,12/09/19,230,42.489376,-83.540248
302,SCHOOL VISIT ,12/09/19,253,42.468514,-83.439433
303,SCHOOL VISIT ,12/09/19,253,42.484082,-83.457421
304,SCHOOL VISIT ,12/09/19,298,42.468959,-83.522221
305,SCHOOL VISIT ,12/09/19,256,42.521202,-83.469492
306,SCHOOL VISIT ,12/09/19,216,42.512892,-83.449649
307,SCHOOL VISIT ,12/09/19,217,42.450681,-83.504154
308,SCHOOL VISIT ,12/09/19,230,42.450681,-83.504154
309,SCHOOL VISIT ,12/09/19,216,42.508257,-83.454752
310,SCHOOL VISIT ,12/09/19,303,42.465061,-83.461523
311,SCHOOL VISIT ,12/09/19,217,42.473913,-83.497865
312,SCHOOL VISIT ,12/09/19,303,42.461427,-83.446007
313,SCHOOL VISIT ,12/09/19,298,42.465061,-83.461523
314,SCHOOL VISIT ,12/09/19,253,42.463211,-83.490985
315,SCHOOL VISIT ,12/09/19,298,42.484082,-83.457421
316,SCHOOL VISIT ,12/09/19,303,42.484082,-83.457421
317,SCHOOL VISIT ,12/09/19,256,42.508257,-83.454752
318,SCHOOL VISIT ,12/09/19,216,42.521202,-83.469492
319,SCHOOL VISIT ,12/09/19,230,42.463211,-83.490985
320,SCHOOL VISIT ,12/10/19,253,42.484082,-83.457421
